Date : 2020-09-29 10:43:28
Directory : c:\Users\vasco\git\sistema-condominio.herokuapp.com
Total : 169 files,  25829 codes, 460 comments, 1373 blanks, all 27662 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| server\sistema-condominio\bin\src\main\resources\META-INF                                                                                                                                |          1 |         12 |          0 |          0 |         12 |
| server\sistema-condominio\bin\src\test                                                                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\bin\src\test\java                                                                                                                                              |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\bin\src\test\java\com                                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\bin\src\test\java\com\siscondominio                                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\bin\src\test\java\com\siscondominio\sistemacondominio                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\src                                                                                                                                                            |         48 |      1,455 |        202 |        520 |      2,177 |
| server\sistema-condominio\src\main                                                                                                                                                       |         47 |      1,446 |        202 |        515 |      2,163 |
| server\sistema-condominio\src\main\java                                                                                                                                                  |         45 |      1,413 |        192 |        504 |      2,109 |
| server\sistema-condominio\src\main\java\com                                                                                                                                              |         45 |      1,413 |        192 |        504 |      2,109 |
| server\sistema-condominio\src\main\java\com\siscondominio                                                                                                                                |         45 |      1,413 |        192 |        504 |      2,109 |
| server\sistema-condominio\src\main\java\com\siscondominio\config                                                                                                                         |          2 |         52 |         53 |         16 |        121 |
| server\sistema-condominio\src\main\java\com\siscondominio\dto                                                                                                                            |          5 |        178 |         58 |         92 |        328 |
| server\sistema-condominio\src\main\java\com\siscondominio\endpoint                                                                                                                       |          2 |        121 |         24 |         35 |        180 |
| server\sistema-condominio\src\main\java\com\siscondominio\enums                                                                                                                          |          1 |         28 |          0 |         10 |         38 |
| server\sistema-condominio\src\main\java\com\siscondominio\model                                                                                                                          |          3 |        221 |         14 |         71 |        306 |
| server\sistema-condominio\src\main\java\com\siscondominio\repository                                                                                                                     |          2 |         20 |          3 |         13 |         36 |
| server\sistema-condominio\src\main\java\com\siscondominio\resources                                                                                                                      |          4 |        107 |          0 |         35 |        142 |
| server\sistema-condominio\src\main\java\com\siscondominio\resources\exception                                                                                                            |          3 |         73 |          0 |         26 |         99 |
| server\sistema-condominio\src\main\java\com\siscondominio\security                                                                                                                       |          5 |        213 |          0 |         57 |        270 |
| server\sistema-condominio\src\main\java\com\siscondominio\services                                                                                                                       |         18 |        444 |         40 |        164 |        648 |
| server\sistema-condominio\src\main\java\com\siscondominio\services\exceptions                                                                                                            |          3 |         30 |          0 |         16 |         46 |
| server\sistema-condominio\src\main\java\com\siscondominio\services\validation                                                                                                            |          5 |        124 |         25 |         46 |        195 |
| server\sistema-condominio\src\main\java\com\siscondominio\services\validation\utils                                                                                                      |          1 |         19 |         22 |          7 |         48 |
| server\sistema-condominio\src\main\java\com\siscondominio\util                                                                                                                           |          2 |         20 |          0 |          6 |         26 |
| server\sistema-condominio\src\main\resources                                                                                                                                             |          2 |         33 |         10 |         11 |         54 |
| server\sistema-condominio\src\main\resources\META-INF                                                                                                                                    |          1 |         12 |          0 |          0 |         12 |
| server\sistema-condominio\src\test                                                                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\src\test\java                                                                                                                                                  |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\src\test\java\com                                                                                                                                              |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\src\test\java\com\siscondominio                                                                                                                                |          1 |          9 |          0 |          5 |         14 |
| server\sistema-condominio\src\test\java\com\siscondominio\sistemacondominio                                                                                                              |          1 |          9 |          0 |          5 |         14 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                 | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\README.md                                                                                                                            | Markdown    |         22 |          0 |         18 |         40 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\basededados.sql                                                                                                                      | SQL         |        247 |        182 |        181 |        610 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\README.md                                                                                                                     | Markdown    |         17 |          0 |          5 |         22 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\babel.config.js                                                                                                               | JavaScript  |          5 |          0 |          1 |          6 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\package-lock.json                                                                                                             | JSON        |     13,356 |          0 |          1 |     13,357 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\package.json                                                                                                                  | JSON        |         56 |          0 |          1 |         57 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\public\index.html                                                                                                             | Django HTML |         24 |          0 |          4 |         28 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\App.vue                                                                                                                   | Vue         |         90 |          0 |         15 |        105 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\AdminPages.vue                                                                                           | Vue         |         46 |          1 |          5 |         52 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\AvisosAdmin.vue                                                                                          | Vue         |        148 |          0 |          4 |        152 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\CategoryAdmin.vue                                                                                        | Vue         |        101 |          1 |          4 |        106 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\CondominosAdmin.vue                                                                                      | Vue         |        165 |          0 |          3 |        168 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\EstacionamentosAdmin.vue                                                                                 | Vue         |        157 |          0 |          3 |        160 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\NoticiasAdmin.vue                                                                                        | Vue         |        145 |          0 |          4 |        149 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\admin\UserAdmin.vue                                                                                            | Vue         |        158 |          0 |          5 |        163 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\auth\Auth.vue                                                                                                  | Vue         |        124 |          0 |         19 |        143 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisoById.vue                                                                                            | Vue         |         51 |          0 |          7 |         58 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisoItem.vue                                                                                            | Vue         |         64 |          0 |          9 |         73 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\aviso\AvisosByCategory.vue                                                                                     | Vue         |         75 |          0 |          7 |         82 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominoById.vue                                                                                    | Vue         |         51 |          0 |          7 |         58 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominoItem.vue                                                                                    | Vue         |         84 |          1 |          9 |         94 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\condomino\CondominosByCategory.vue                                                                             | Vue         |         70 |          0 |          7 |         77 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentoById.vue                                                                          | Vue         |         51 |          0 |          7 |         58 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentoItem.vue                                                                          | Vue         |         84 |          0 |          9 |         93 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\estacionamento\EstacionamentosByCategory.vue                                                                   | Vue         |         70 |          0 |          7 |         77 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\About.vue                                                                                                 | Vue         |        122 |          0 |         22 |        144 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\Home.vue                                                                                                  | Vue         |        127 |          0 |         16 |        143 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\PageInConstruction.vue                                                                                    | Vue         |         20 |          0 |          8 |         28 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\home\Stat.vue                                                                                                  | Vue         |         55 |          0 |          8 |         63 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiaById.vue                                                                                        | Vue         |         51 |          0 |          7 |         58 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiaItem.vue                                                                                        | Vue         |         64 |          0 |          9 |         73 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\noticia\NoticiasByCategory.vue                                                                                 | Vue         |         75 |          0 |          7 |         82 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Content.vue                                                                                           | Vue         |         18 |          0 |          3 |         21 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Footer.vue                                                                                            | Vue         |         21 |          0 |          4 |         25 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Header.vue                                                                                            | Vue         |         74 |          0 |         11 |         85 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\HeaderMobile.vue                                                                                      | Vue         |         75 |          0 |         11 |         86 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Loading.vue                                                                                           | Vue         |         18 |          0 |          3 |         21 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\Menu.vue                                                                                              | Vue         |        219 |          3 |         28 |        250 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\PageTitle.vue                                                                                         | Vue         |         24 |          0 |          4 |         28 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\components\template\UserDropdown.vue                                                                                      | Vue         |         87 |          0 |         15 |        102 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\axios.js                                                                                                           | JavaScript  |         10 |          0 |          2 |         12 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\bootstrap.js                                                                                                       | JavaScript  |          5 |          0 |          4 |          9 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\mq.js                                                                                                              | JavaScript  |         11 |          0 |          1 |         12 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\msgs.js                                                                                                            | JavaScript  |         16 |          0 |          3 |         19 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\router.js                                                                                                          | JavaScript  |         83 |          0 |          9 |         92 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\config\store.js                                                                                                           | JavaScript  |         42 |          0 |          3 |         45 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\global.js                                                                                                                 | JavaScript  |         13 |          1 |          3 |         17 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\client\src\main.js                                                                                                                   | JavaScript  |         15 |          0 |          5 |         20 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\auth.js                                                                                                               | JavaScript  |         43 |          1 |         10 |         54 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\aviso.js                                                                                                              | JavaScript  |         78 |          0 |         15 |         93 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\category.js                                                                                                           | JavaScript  |        102 |          0 |         23 |        125 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\condomino.js                                                                                                          | JavaScript  |         77 |          1 |         15 |         93 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\estacionamento.js                                                                                                     | JavaScript  |         78 |          1 |         15 |         94 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\noticia.js                                                                                                            | JavaScript  |         78 |          0 |         15 |         93 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\queries.js                                                                                                            | JavaScript  |         11 |          0 |          0 |         11 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\stat.js                                                                                                               | JavaScript  |         25 |          0 |          2 |         27 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\user.js                                                                                                               | JavaScript  |         87 |          0 |         17 |        104 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\api\validation.js                                                                                                         | JavaScript  |         19 |          0 |          3 |         22 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\admin.js                                                                                                           | JavaScript  |          9 |          0 |          0 |          9 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\db.js                                                                                                              | JavaScript  |          4 |          0 |          1 |          5 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\middlewares.js                                                                                                     | JavaScript  |          6 |          0 |          1 |          7 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\mongodb.js                                                                                                         | JavaScript  |          6 |          0 |          0 |          6 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\passport.js                                                                                                        | JavaScript  |         21 |          0 |          4 |         25 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\config\routes.js                                                                                                          | JavaScript  |         75 |          1 |         18 |         94 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\index.js                                                                                                                  | JavaScript  |         18 |          0 |          4 |         22 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\knexfile.js                                                                                                               | JavaScript  |         16 |          0 |          1 |         17 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160142_create_table_users.js                                                                           | JavaScript  |         15 |          0 |          3 |         18 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160156_create_table_categories.js                                                                      | JavaScript  |         11 |          0 |          3 |         14 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160206_create_table_avisos.js                                                                          | JavaScript  |         15 |          0 |          3 |         18 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160211_create_table_noticias.js                                                                        | JavaScript  |         15 |          0 |          3 |         18 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200908160228_create_table_deleted_at_table_users.js                                                          | JavaScript  |         10 |          0 |          3 |         13 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200916163651_create_table_condominos.js                                                                      | JavaScript  |         17 |          0 |          3 |         20 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\migrations\20200918104541_create_table_estacionamentos.js                                                                 | JavaScript  |         16 |          0 |          3 |         19 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\package-lock.json                                                                                                         | JSON        |      4,317 |          0 |          1 |      4,318 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\package.json                                                                                                              | JSON        |         32 |          0 |          1 |         33 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\nodeServer\schedule\statsSchedule.js                                                                                                 | JavaScript  |         29 |          3 |          6 |         38 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\package-lock.json                                                                                                                    | JSON        |          3 |          0 |          1 |          4 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\script.sql                                                                                                                           | SQL         |        148 |         17 |         21 |        186 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\.mvn\wrapper\MavenWrapperDownloader.java                                                                   | Java        |         76 |         31 |         11 |        118 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\.mvn\wrapper\maven-wrapper.properties                                                                      | Properties  |          2 |          0 |          1 |          3 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\SisCondominioApplication.class                                         | Java        |         20 |          0 |          1 |         21 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\config\SecurityConfig.class                                            | Java        |        102 |          0 |          1 |        103 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\config\TestConfig.txt                                                  | Django txt  |         22 |          0 |          8 |         30 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\ClienteDTO.class                                                   | Java        |         67 |          0 |          1 |         68 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\CredenciaisDTO.class                                               | Java        |         34 |          0 |          1 |         35 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\dto\EmailDTO.class                                                     | Java        |         31 |          0 |          1 |         32 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\endpoint\UsuariosEndpoint.class                                        | Java        |        135 |          0 |          1 |        136 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\enums\Perfil.class                                                     | Java        |         32 |          0 |          1 |         33 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\model\AbstractEntity.class                                             | Java        |         60 |          0 |          1 |         61 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\model\Usuarios.class                                                   | Java        |        187 |          0 |          1 |        188 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\repository\UserRepository.class                                        | Java        |         21 |          0 |          1 |         22 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\AuthResource.class                                           | Java        |         77 |          0 |          1 |         78 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception\FieldMessage.class                                 | Java        |         44 |          0 |          1 |         45 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception\ResourceExceptionHandler.class                     | Java        |         38 |          0 |          1 |         39 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception\StandardError.class                                | Java        |         54 |          0 |          1 |         55 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthenticationFilter$JWTAuthenticationFailureHandler.class | Java        |         82 |          0 |          1 |         83 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthenticationFilter.class                                 | Java        |         98 |          0 |          1 |         99 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTAuthorizationFilter.class                                  | Java        |         63 |          0 |          1 |         64 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\JWTUtil.class                                                 | Java        |         80 |          0 |          1 |         81 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\security\UserSS.class                                                  | Java        |         95 |          0 |          1 |         96 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\AbstractEmailService.class                                    | Java        |         45 |          0 |          1 |         46 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\AuthService.class                                             | Java        |         62 |          0 |          1 |         63 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\ClienteService.class                                          | Java        |         97 |          0 |          1 |         98 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\CustomUserDetailService.txt                                   | Django txt  |         28 |          0 |         10 |         38 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\DBService.txt                                                 | Django txt  |         24 |          0 |         13 |         37 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\EmailService.class                                            | Java        |         12 |          0 |          1 |         13 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\MockEmailService.class                                        | Java        |         31 |          0 |          1 |         32 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\SmtpEmailService.class                                        | Java        |         36 |          0 |          1 |         37 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\UserDetailsServiceImpl.class                                  | Java        |         42 |          0 |          1 |         43 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\UserService.class                                             | Java        |         23 |          0 |          1 |         24 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\exceptions\AuthorizationException.class                       | Java        |         19 |          0 |          1 |         20 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\exceptions\ObjectNotFoundException.class                      | Java        |         19 |          0 |          1 |         20 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\validation\ClienteUpdate.class                                | Java        |         24 |          0 |          1 |         25 |
| c:\Users\vasco\git\sistema-condominio.herokuapp.com\server\sistema-condominio\bin\src\main\java\com\siscondominio\services\validation\ClienteUpdateValidator.class                       | Java        |         82 |          0 |          1 |         83 |
